,Gene,Mean Diff,Initial p-val,Adjusted p-values,Reject?
B2M,B2M,-0.3189933762837054,0.032630998652185925,0.2461729546736214,False
EEF1A1,EEF1A1,-0.03508254191540683,0.8423338714150406,0.9359959030772023,False
S100A9,S100A9,-0.43151401879191464,0.22125531043593616,0.5230061617255741,False
TXNIP,TXNIP,-0.12200770522671434,0.5160002265160705,0.7556720693416786,False
HLA-B,HLA-B,-0.2944848033080687,0.1454398768947135,0.4374034474795726,False
PTPRC,PTPRC,0.037993728823167316,0.7404211383030762,0.8866839007263586,False
HLA-E,HLA-E,-0.3409098887153821,0.004025072290767287,0.09776639709958598,False
AHNAK,AHNAK,0.2391485740198327,0.2850719533248024,0.5860619134477177,False
RNF213,RNF213,0.09446739713454733,0.7695093870189571,0.9019805081995692,False
LYZ,LYZ,-0.5531068504246033,0.006341512959944546,0.11633128581940232,False
LCP1,LCP1,0.005502695704990401,0.9514146901012807,0.9832522531746521,False
FCGR3B,FCGR3B,-0.8456186960448857,0.007181041495835509,0.12393202042072696,False
TMSB4X,TMSB4X,-0.07071244749218764,0.729016789776865,0.8793623606309512,False
MCL1,MCL1,-0.19930239743754186,0.04733808268013083,0.2809493787118851,False
UBC,UBC,0.14881967218140169,0.5405908339446699,0.7707091875789974,False
FTL,FTL,-0.1459470146791908,0.5917381188996966,0.8046012804994839,False
HLA-A,HLA-A,-0.11242039885446609,0.5419136051162763,0.7713788006456351,False
SORL1,SORL1,-0.5690754682540895,0.07704558174962071,0.3388261899827201,False
SMCHD1,SMCHD1,-0.11536054827684339,0.5309023686966974,0.7642179196571813,False
ACTB,ACTB,0.11618273248798872,0.6885802870282636,0.8591509690357094,False
SLC25A37,SLC25A37,-0.2516275114647559,0.3302324056386017,0.6209426499221274,False
NAMPT,NAMPT,-0.6884577654635677,0.008290832227411489,0.1340457666598286,False
HLA-C,HLA-C,-0.4393587209303096,0.014381813516158902,0.16804940893658726,False
SELL,SELL,-0.012264051611053262,0.946023280633689,0.9813763997715569,False
CTSS,CTSS,-0.28811400993928693,0.02925122065691248,0.2318835788402381,False
