,GSM4715941,GSM4715944,GSM4715945,GSM4715946,GSM4715949,GSM4715950,GSM4715955,GSM4715958,GSM4715959,GSM4715960,GSM4715967,GSM4715969,GSM4715974,GSM4715976,GSM4715978,GSM4715979,GSM4715981,GSM4715982,GSM4715983,GSM4715984,GSM4715985,GSM4715991,GSM4715992,GSM4715993,GSM4715998,GSM4716000,GSM4716001,GSM4715942,GSM4715943,GSM4715948,GSM4715951,GSM4715952,GSM4715953,GSM4715957,GSM4715961,GSM4715962,GSM4715963,GSM4715964,GSM4715965,GSM4715966,GSM4715968,GSM4715970,GSM4715971,GSM4715973,GSM4715977,GSM4715980,GSM4715986,GSM4715987,GSM4715988,GSM4715989,GSM4715990,GSM4715994,GSM4715995,GSM4715997,GSM4715999,GSM4716004,GSM4715947,GSM4715954,GSM4715956,GSM4715972,GSM4715975,GSM4715996,GSM4716002,GSM4716003,avg_log_mRNA,Mean Diff,Initial p-val,Adjusted p-values
ERCC6L,-17.79859739198062,-18.83680755339093,-17.10697848122479,-16.809563933972928,-17.51620968100176,-17.267645058766806,-16.85139406245532,-17.06160473094823,-16.700118021187055,-16.152100256953926,-16.821974526849306,-16.79098407280128,-17.121317854235695,-17.00528093446527,-16.03833736016228,-17.51981097909163,-16.38909285248251,-17.02451513584915,-16.25837243478044,-17.28687290369004,-17.311988264820947,-16.931973650810466,-16.84048040960422,-17.18112286519878,-16.050668268790627,-16.39833728421603,-17.729349356743572,-16.06776272968877,-17.245499505164187,-16.170989132365605,-16.559384870944605,-16.883810362671827,-16.252182933790234,-16.281301368263264,-15.368853852574924,-16.752583516815893,-15.801502389249976,-14.852626794408451,-16.684391247521038,-15.922586226847264,-16.743861313851756,-16.72928600640174,-16.021555445233314,-16.68348968599205,-16.191078613807438,-16.454159018661915,-16.31507505943197,-16.68921449354307,-16.181988115346336,-16.587322072062292,-16.467928107525818,-16.22065297292357,-16.249973178394452,-15.757473351560181,-16.169811924828128,-16.187644573823114,-17.23921278732309,-16.838466465622147,-15.84491717555273,-16.60475528225582,-16.088297799497536,-17.524131084567312,-16.866854284352748,-16.467835403353575,-16.63703058551082,0.8181061192753667,9.242973071580699e-10,9.698651644009628e-06
MTHFD1L,-18.03960549148442,-18.703541022527467,-17.5489830281039,-17.208113310463204,-16.721029472890258,-16.768839201795362,-16.96101855362982,-17.80380697348058,-16.60282081983214,-16.357081994741556,-16.398944236816934,-17.591675264577873,-17.17254317759087,-16.025089415545448,-16.309364556749607,-17.16833860859025,-16.501912682816815,-17.430029861009487,-16.752481505050483,-17.228925554480757,-18.268919542929066,-17.326604939427472,-17.066361817020546,-18.066664140613867,-15.611662121685452,-16.50453668804796,-17.836264560660087,-16.841486873865094,-16.86522742404602,-16.692941835560962,-16.49329568048683,-16.537359948650394,-16.991531179267433,-17.02891420662898,-15.81933102110906,-15.629602016983853,-15.860396078303545,-15.041155763878614,-16.441348316874706,-15.937772630661938,-16.00249725578803,-16.04244389166137,-16.510593525955937,-15.908304769595354,-16.588838121654447,-15.477242631774956,-15.993146964544605,-16.892031376542757,-16.531795242809135,-16.7222516521484,-16.75906304886758,-16.86567059711569,-16.41347191067733,-15.864388555476692,-16.429198553646778,-15.572934729707907,-17.668056086126967,-17.62087503054952,-16.282725982490234,-16.869170918487974,-16.772795973769608,-18.193982482874983,-16.950109788002102,-16.207445718775343,-16.738977442623792,0.8229616940693312,5.142998929923885e-08,0.0002698274388584566
TNFRSF10B,-13.246371677671467,-14.047852469665306,-13.611567565481923,-13.736807591537616,-13.464121169853309,-13.680071344589113,-14.685384111016392,-13.229815590580426,-13.770297670269729,-14.04620908836319,-13.938788191832057,-13.49738470097241,-13.819662154374596,-14.010207615545196,-13.800090987624996,-13.71008904249011,-14.024396471989414,-13.64637103139524,-14.111065736000148,-14.037701151237991,-14.01319666873152,-13.642467033615482,-13.896436815578234,-14.025979704556516,-14.156725661736932,-13.919574187326802,-13.687038551885609,-13.870870680646188,-13.998777754466,-13.702219649148972,-14.0384388630946,-13.824504533909444,-14.168927430140885,-13.84912795667039,-13.817443911564794,-14.406407875681852,-14.442141866341158,-14.782237466517053,-13.856385816153551,-14.03444865007361,-14.261584477105162,-13.888802302820569,-14.703238603898331,-13.867859243876945,-14.16737435321617,-14.147578888107988,-14.155026737430898,-13.89033108755292,-14.1751017297611,-14.244929874615217,-14.293940318152426,-14.203725156902754,-13.853455767086407,-13.938389136920469,-14.068451209868888,-13.909659826523349,-14.236638843659266,-14.5232642339231,-13.88417660599996,-14.066561708081018,-14.066423299874772,-14.571265060158408,-13.6731562211502,-14.310294126367095,-13.98982555083412,-0.4240610514726697,3.067091134084042e-07,0.0010727662423314617
CDCA7,-17.726447606224788,-18.469075768890445,-16.57646376452601,-17.580082087850162,-17.84878502008863,-18.39888959204506,-17.887017972186044,-18.06160473094823,-17.71134527661031,-17.557614982114263,-16.585907168615783,-18.054018478635072,-17.57030268543788,-16.73135821248874,-15.373276320569795,-17.470901378610684,-15.829893447826434,-18.07309531629421,-16.836139434097394,-16.750004691169927,-18.71252619440468,-16.9443573752663,-16.141649944324783,-18.167947476451047,-15.288637337242514,-15.534910337091477,-17.66223516088504,-16.31994975328557,-17.032954869784085,-16.334487864648484,-16.55189033439768,-16.19931218839975,-15.379012956025718,-15.853064371229559,-14.474918912070319,-15.893759579776585,-15.630661681625927,-14.035003536897019,-16.302828452793282,-14.99618931688726,-16.029091465799745,-16.999375169769483,-15.925631025234779,-15.669038529694511,-15.494655682597738,-16.59854892799709,-14.983058146921023,-15.89885264239877,-16.259990627347612,-16.425050643163416,-15.955553606761269,-15.24563532948091,-16.704811685731272,-15.93256005811827,-16.00598712292223,-16.252184826017825,-17.368495804268058,-16.650021376209036,-15.70653369139681,-16.08329572384082,-16.410225894384897,-18.405486588068694,-16.015864233485814,-16.888167202301933,-16.569634962228577,1.1895022350405995,5.363345964724285e-07,0.001406939730196298
LAMTOR4,-13.183132802862122,-13.96445537648689,-13.722314630989464,-13.69600137514973,-13.708854758944156,-14.12942891705183,-14.86909606418878,-14.440508444173355,-14.08016822090633,-14.287217187866984,-14.394964385904387,-14.479782384506974,-13.932872764822587,-14.424696874254687,-14.445426106325632,-13.66698554051985,-14.10467306133333,-13.966003668294936,-14.119230415634751,-14.11826243084973,-14.183954875533916,-13.800930176001064,-14.039111782612345,-14.622877702853405,-14.379118083073385,-14.17063595149452,-14.124487298584713,-13.588668864074435,-14.132667008999814,-13.49856379039411,-14.22697529218892,-14.30573424753591,-14.117604122240966,-14.104321609287,-14.267476832199842,-14.786603625748391,-14.587377583897128,-14.957324173075143,-14.897986720620326,-14.50283557394539,-14.687171895724916,-14.940481480715915,-14.389287229733805,-14.850090155650058,-14.186739678083102,-14.467579534424235,-14.433719555930589,-14.029364781190925,-14.05804000362517,-14.241547235220564,-14.292318401128435,-14.253531873775804,-14.009814639249424,-14.46049161380305,-13.831540980077255,-14.187644573823116,-13.902929399458658,-14.749031382040204,-14.234362960928834,-13.987933867717958,-14.07632515783146,-13.721199349543896,-13.934129002608213,-14.47180430555652,-14.209787652863582,-0.49685620965349564,1.3111560054797673e-06,0.0022929933275832
CYTH4,-10.415114626576624,-10.393061891805166,-10.9301127609164,-10.562291149399618,-11.195873672030125,-11.347745402596424,-10.8966303203833,-10.541968478105014,-10.53128073214332,-10.816621165622538,-11.733254982522212,-11.000424393286652,-11.060244993730612,-11.710827270528474,-11.48867499619039,-10.719431706334404,-11.570383432645436,-10.673971054859546,-11.887510694695154,-11.228570604290535,-10.96782688019684,-10.872525185729724,-11.450654258452788,-10.575762286751305,-11.627173267837536,-11.315261204356638,-10.719720655545798,-11.594784579213524,-11.344345279104813,-11.29754501985023,-11.545829561053138,-11.00694265144648,-11.223456244871642,-11.279644811598434,-11.71157305254946,-11.511105254348545,-11.85985946120943,-12.55250306983944,-11.631997689642189,-12.01318003331996,-11.965909621879264,-11.44508728712202,-12.27874077537042,-11.712216187671386,-11.68691772720697,-11.739986200990309,-11.869806042159473,-11.126346524048836,-11.47545491905458,-11.478299876779657,-11.379603955777725,-11.172511104890756,-11.641586332161966,-11.916650477892963,-11.380505282561014,-11.234612196569874,-11.114943741630595,-10.924324729470952,-11.4947047364926,-11.505967611016176,-11.29243851627776,-11.022237045808302,-10.664890710370296,-11.212002691824644,-11.305334829228258,-0.5839456204727114,1.2698981455740728e-06,0.0022929933275832
DHX33,-16.484086768655743,-16.543076350334218,-15.833959986818376,-15.645177116072048,-16.53758333179433,-16.283412374625122,-15.905165318896302,-16.175775750867537,-15.497026155809545,-15.36813718325055,-15.174276270780188,-15.838512442883864,-15.861082081754578,-15.146395711767582,-15.107730695579956,-15.962754474940356,-15.461078965308236,-15.840855109001414,-15.57579913743286,-16.067863121748243,-16.258350301218872,-16.007922504043766,-15.949004866382388,-16.799560070471024,-15.088338686756684,-15.398337284216032,-16.155882494860247,-15.547755670808383,-15.993960738168225,-15.502610623456812,-15.660531594401505,-15.62938908714274,-15.705823272292823,-16.15931084388465,-14.88896520894611,-15.19643471359947,-14.908417593166488,-14.577619746908582,-15.108279664382144,-14.796111481438349,-15.28543121905953,-15.21647329143642,-15.315577543550791,-15.047789823193977,-15.1273261925761,-15.34751645861674,-15.220187111514369,-15.631267144333792,-15.421741697344224,-15.44048068373302,-15.626455553711017,-15.909913435077174,-15.364837135426455,-15.016391648921742,-15.666237750947626,-15.300119303081528,-16.574079937917954,-16.406750225196674,-15.572232599685218,-15.618627456837377,-15.415243969151522,-16.26109667873352,-15.84013694597697,-15.609307829306456,-15.63871213172182,0.5349632097987875,3.4025515672566133e-06,0.004462871699402956
TMEM154,-10.234790010273606,-10.131007971347827,-10.9865965864092,-10.62178526771782,-10.841705826870008,-11.002080968398587,-10.082564236530764,-10.357099595922495,-10.429270408026222,-10.57212254123785,-11.270572443676702,-10.345892567348848,-10.572451152016455,-11.332855592493772,-11.145060973655957,-10.360867644301264,-11.140493536912285,-10.48094550778489,-11.228036356409484,-11.055376283103309,-10.664093814172034,-11.061082073301735,-11.175041497948827,-10.88338623402817,-11.653401630040134,-11.25871992120018,-10.937101327076178,-11.479967526229766,-11.97722672240842,-11.116481714364058,-11.454349400246311,-11.014679243027532,-11.4721223604172,-10.657527441719818,-11.267476832199842,-11.619463078807852,-11.304711370104634,-12.27248130998507,-11.61849961886308,-11.61660806849464,-11.511669268904749,-11.478583189041917,-11.226165114110673,-12.075315502220096,-11.293488260177991,-11.542188505689044,-11.9783531909925,-10.887784405442572,-11.041115546333405,-11.251931717368368,-11.354000887368793,-11.129189210049478,-11.190932283071598,-11.262874878491688,-11.559581344463975,-11.576250847977532,-11.626607531532809,-10.505259099121412,-10.5734854829953,-10.97505007565196,-11.01029528749626,-10.940242417197474,-10.656126050839765,-11.161848852335234,-11.10163024381168,-0.5766096970743906,3.060722729250326e-06,0.004462871699402956
PAICS,-14.432947919663944,-15.35637563614108,-14.622267454139134,-14.143982973043489,-14.598047973058222,-14.741358465373256,-14.594236222958196,-15.19284926422648,-14.73120569897115,-14.612427866743648,-14.159009514126875,-14.916514954885136,-14.646715800957049,-13.786640647989929,-13.625293911015524,-14.391001831436812,-13.879475476676994,-14.56595234893994,-14.130739155054563,-14.434612032332511,-15.09428753880922,-14.57351967989799,-13.926637053353932,-15.167947476451047,-13.824032623686842,-13.960216171824149,-15.333764220130904,-13.418472653863416,-14.340136379302262,-13.888231634758924,-13.645498165134034,-14.10470075884304,-14.197867416102207,-13.876911113183926,-13.009819603820498,-14.061579378684408,-13.641688703774951,-12.403065419795215,-13.882719963967016,-13.166859704572396,-14.188569679806944,-14.010022413968992,-13.681705442348688,-13.878903853154794,-13.407508356939884,-14.078292116663748,-13.259982940538256,-14.025627227181111,-13.655727570667516,-13.802219956851818,-14.07456487459551,-14.113295563627082,-13.740561710680472,-13.582975620328044,-13.808256755820054,-14.091720153824578,-14.557924169526911,-14.924881217439625,-13.245503518534036,-14.267720294978249,-14.056588939770196,-15.614495112219975,-14.000990957004284,-14.649200556429967,-14.153075778290486,0.5320876986092458,5.466608689752108e-06,0.006373458331285429
DLAT,-15.81721307014797,-16.621078862335494,-15.842275255030378,-15.623150809742048,-15.57024952071465,-15.825422730161732,-16.231666143573488,-16.42529535022685,-16.14148966827936,-15.931073377641708,-15.101128598046376,-15.953414537696665,-15.88224669175262,-15.157284027910318,-15.1373038109633,-15.907472039439169,-15.572647194354047,-15.78718644420783,-15.463436771976903,-15.868882087021849,-16.367697697407234,-15.422960003322608,-15.53115235149649,-16.19441968781224,-15.203497884768105,-15.41236684412009,-16.492310159442724,-15.311867406987712,-15.02310708382774,-15.629615900192134,-15.135918749595175,-15.323095408197348,-15.720569857662012,-15.391484286013686,-14.892934111149057,-15.411224891979623,-14.93983054579795,-14.485255728759922,-14.940822918530584,-14.6021695988775,-15.301550884422808,-15.241347960075448,-15.168557857619998,-15.079290966407976,-15.195430638347146,-15.29872501981659,-15.000760148654482,-15.521919748145429,-15.282016933677612,-15.172284572783449,-15.272996303726812,-15.549563740957048,-15.15043750484354,-15.028775373377574,-15.375560590044705,-15.427423627356603,-15.75378596015285,-16.035912529828366,-14.99799650555712,-15.444835674627038,-15.487393754907355,-17.129852145455267,-15.48938019803039,-15.609307829306456,-15.520426946488826,0.4057382068634414,6.159659580098303e-06,0.00646333079739715
