,GSM4715941,GSM4715945,GSM4715946,GSM4715949,GSM4715974,GSM4715979,GSM4715982,GSM4715984,GSM4715991,GSM4715992
TSPAN6,-20.2774328707565,-20.95631872307578,-20.084140116878313,-21.019629863434744,-21.226427481075383,-21.378709380928147,-20.263854229128984,-20.759089714089647,-20.21827597226833,-18.207077359576036
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,-24.26385422912898,0.0,0.0,-20.961964861739506
DPM1,-15.258239305523187,-16.011460277268238,-15.50923128082108,-15.54930992865471,-15.588353643894663,-14.983532304010145,-15.069097374706738,-14.975347349253994,-15.410921050210728,-14.807146752687402
SCYL3,-14.119003508152018,-14.392550444623744,-14.397639589695093,-13.914594392736454,-14.317134395251559,-14.405251168380637,-14.300958223791726,-14.382470977668874,-13.800423457382434,-13.814759936797277
C1orf112,-15.781007044636999,-16.212157627505366,-15.635679616062017,-15.746611369028328,-16.080750025879745,-15.99212832769853,-15.955515198989579,-15.928502485794327,-15.769815471452036,-15.261525143598414
FGR,-10.879299972663537,-10.696104836304363,-10.741324655517127,-11.370972687396197,-10.346537959294823,-10.858581830603296,-11.141187980500185,-10.922035246111477,-10.954811138965558,-11.538848951592405
CFH,-20.2774328707565,-18.523359315799674,-19.20967099896217,-21.6045923641559,-19.30042806251916,-20.641743786761943,-21.263854229128984,-20.311630737118424,-19.995883550931882,-18.261525143598416
FUCA2,-15.781007044636999,-15.67091650421353,-15.259711681461768,-15.84970486199243,-15.413929255741818,-15.90297594996175,-16.14491315640548,-15.726668236397268,-15.021878759464826,-15.354634547989894
GCLC,-15.56122583675709,-15.365357481733177,-15.185286840335213,-14.533130001599275,-14.117903024297211,-15.305460398897509,-14.537636069796786,-13.867582151180512,-15.23338286465854,-15.552573925601804
NFYA,-13.8180012521192,-13.691407030001312,-13.894315557998295,-12.986206861897294,-13.86536099228106,-13.462830002092371,-13.421503885715177,-13.910182302587536,-14.164802558999016,-13.953536239668923
STPG1,-17.412362450842608,-17.55032636339994,-17.025246427824744,-16.081030408098886,-17.99376672428511,-17.678269662787056,-17.356963633520465,-17.69495937666993,-17.36029497714076,-16.853440404961336
NIPAL3,-13.976263336035935,-13.372859812945007,-13.808015711604074,-13.712808660937588,-14.097144464130414,-13.6887114095087,-13.57211070995771,-13.722666305839773,-13.286553523679876,-13.07474424627112
LAS1L,-15.56908795453006,-14.979038799575862,-15.09924700926852,-15.685729126881304,-15.39353746691064,-15.133949146563243,-14.910707403630903,-15.099580260003437,-14.136126930914457,-14.286007828797757
ENPP4,-15.323236560369622,-15.341608878960567,-14.961743485518587,-14.337805823460997,-16.40880422356395,-15.520728385800574,-15.453282594387838,-15.480429073106453,-13.997494600837868,-14.237451008619557
SEMA3F,-23.0847877928141,-20.95631872307578,-20.084140116878313,0.0,-23.548355575962745,0.0,-23.263854229128984,-24.218521332726944,-23.803238472989488,-20.1546099396819
CFTR,0.0,0.0,0.0,0.0,0.0,-23.9636718816493,0.0,-24.218521332726944,0.0,-17.79203986029719
ANKIB1,-13.729436696389289,-13.658026992455651,-13.897613148098872,-13.573925227908958,-12.984206085977013,-13.190532674929612,-13.263854229128983,-13.05550069314615,-13.102798754848395,-13.097778717085225
CYP51A1,-15.576993152615408,-14.827035706130811,-15.402316076904567,-14.897233232075017,-15.168977208891482,-15.416777421761667,-15.76400834204578,-15.35124259301728,-14.747956037488297,-15.12276107364256
KRIT1,-14.346695533193614,-14.503459758361965,-14.49417693509879,-13.873273333130836,-13.729773398481887,-13.627165321839048,-13.50396604590715,-13.469489950686741,-13.64084714423258,-13.619890193740368
RAD52,-16.56122583675709,-15.634390628188415,-16.129943806491436,-15.97523574407629,-16.272231170688507,-15.91382333219874,-15.816771002919333,-15.951734792032042,-16.041687240545006,-16.19378053696258
BAD,-16.303428079289446,-16.73908800685511,-15.874686751249364,-15.91809183697268,-16.875930233991248,-16.773847322769285,-16.941926134241623,-16.323703569419,-15.715775631739147,-16.71403734829592
LAP3,-10.836267187875674,-11.545231496277175,-13.833052262541399,-14.023391782230942,-11.008227537380645,-14.18723884920457,-14.017113630635842,-14.310128711953192,-11.119585875594737,-10.85409394745989
CD99,-13.917369646982365,-14.174959009551118,-13.24493632878137,-14.116752330332849,-14.445067767550722,-13.86038407323728,-14.369036465821042,-14.031169259526449,-14.250569375475216,-14.24086567303232
HS3ST1,-17.625356174176805,-18.577807099822046,-17.714906307212594,-16.98988252004069,-17.847915857821654,-17.143492919234113,-16.78003845186473,-16.574665142952217,-17.218275972268334,-16.502533243102206
AOC1,-18.084787792814105,-15.439043029866195,-22.66910261759947,-21.019629863434744,-20.548355575962745,-18.319815691874577,-22.263854229128984,-19.218521332726944,0.0,-19.37700236101835
WNT16,-17.997324951563762,-18.577807099822046,-19.20967099896217,-17.746611369028326,-18.30042806251916,-17.471818785319627,-17.508966726965514,-17.826203909948184,-17.46338847010486,-17.18060514821485
HECW1,0.0,-23.27824681796314,0.0,0.0,-23.548355575962745,0.0,-24.26385422912898,0.0,-21.803238472989488,-16.733146171243625
MAD1L1,-15.04039367345565,-14.298107240323983,-14.411714774906818,-14.91809183697268,-14.911730955419095,-14.715744368205716,-14.667664472984574,-14.714695594731193,-13.99266683824834,-14.296628944554328
LASP1,-12.68390835653192,-11.595252234281457,-11.970397950829124,-12.759102313211525,-12.886577478190755,-12.64739034990308,-12.788627451386718,-12.981909132511193,-13.055884643511426,-13.401632027527064
SNX11,-14.22370088681871,-14.15930574523963,-14.311550612981383,-13.94281426638391,-14.706005232548938,-14.847327920411834,-15.069097374706738,-15.182347720173459,-14.661131415686937,-14.906682426238316
TMEM176A,-14.35346876178904,-14.35640588088865,-17.421175104155886,-17.282664269268537,-15.800162726373284,-15.803800544870914,-16.482494515604326,-15.788068781061412,-17.574419782493607,-17.207077359576036
M6PR,-11.97953401311322,-12.025581385512892,-12.177249521269795,-12.037586993908864,-12.601449301506346,-12.502192434363147,-12.735400118364197,-12.515482943740528,-11.336907050906719,-11.398291901911993
KLHL13,-19.91486279137179,-20.95631872307578,-19.499177616157155,-20.282664269268537,-21.548355575962745,-19.79374688020699,-19.508966726965518,-19.896593237839582,-19.803238472989488,-18.261525143598416
CYP26B1,0.0,0.0,-18.861747695541865,0.0,-23.548355575962745,0.0,0.0,0.0,-23.803238472989488,-17.917570742381052
ICA1,-17.955504775869137,-18.233852698604686,-18.025246427824744,-18.282664269268537,-17.715465561798002,-18.378709380928147,-18.591428887157488,-18.089238315781976,-18.311385376659814,-17.1546099396819
DBNDD1,-20.499825292092947,-18.324050507576263,-18.581639776349128,-18.797237442098293,-20.088923957325445,-19.26323216350821,-19.45649930707138,-19.63355883200579,-19.21827597226833,-18.961964861739506
ALS2,-15.753870914699487,-15.002122412688903,-15.571070534638942,-15.746611369028328,-14.796811516873646,-14.911103830845148,-14.703521394916544,-14.903371770470644,-15.170243275846529,-14.853440404961338
CASP10,-12.814492466342063,-12.322596910434765,-13.00910672516949,-13.886915941089503,-12.726581593992176,-13.215479032059841,-13.32868917952529,-13.262145175477272,-12.217806421396524,-12.28512625526535
CFLAR,-9.514694918626049,-9.417450807228514,-9.831671787378147,-9.461368608032048,-9.226779744547011,-9.028092429892657,-9.17531440970514,-9.598015104772585,-10.353444990057662,-10.090252098904283
TFPI,-16.609054361847708,-16.73908800685511,-16.714906307212594,-16.627312440655984,-15.59415926557587,-15.941304068620846,-16.054400863500035,-15.281883393724373,-17.24864962131185,-16.079321812377664
NDUFAF7,-15.8180012521192,-16.11837548118475,-16.069189775412344,-15.220888071681847,-15.509436586670443,-14.855147424871134,-14.756059588930288,-14.482119401408655,-15.331563258597443,-15.227255241513667
RBM5,-11.420785029927602,-11.659861315704532,-11.840966133405363,-11.48370652136811,-11.540277165094487,-11.219468730516473,-11.166645085578649,-11.38089339955554,-11.298419485356645,-11.282044983221086
MTMR7,-18.226806797686532,-18.108321816520828,-17.624708498241013,-16.904152646014808,-17.875930233991248,-17.291246539677807,-16.941926134241623,-17.323703569419003,-18.159382283214764,-16.60441285712142
SLC7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.803238472989488,-17.83268184479454
ARF5,-14.64599594023584,-14.814722444691958,-14.714906307212592,-14.759102313211525,-15.39353746691064,-15.36004553666311,-15.508966726965516,-15.35124259301728,-15.045015258262763,-15.33991304228313
SARM1,-16.855969102318223,-15.27824681796314,-15.592287020548637,-16.050003512478263,-17.690374580835172,-17.05678128604078,-16.76400834204578,-16.980116593401867,-17.295443832790788,-16.98468493823959
POLDIP2,-14.186942336808594,-14.435896474549331,-13.968662899458378,-15.128858933189502,-14.638462492192703,-15.003669949581221,-14.917340495963348,-14.67742471737742,-14.153982295472174,-14.230645830714442
PLXND1,-15.986755709853576,-14.044627141203437,-14.738365280036582,-15.662077858816659,-15.16033829061761,-15.341620062192927,-15.591428887157488,-15.618608490539815,-16.481310378102123,-16.234044407176306
AK2,-12.90612294180763,-13.272622268769261,-13.000217633333223,-12.930400096010217,-13.311145615207723,-13.44698693233969,-13.35621242546346,-13.319164409803832,-12.313390512550187,-12.47011176540983
CD38,-14.8040170226835,-12.949571890635191,-13.41407404778074,-14.057697904268263,-13.605841070623503,-14.673653034716683,-14.724695418020953,-13.943560860586343,-13.543495209298705,-13.202076678517672
FKBP4,-14.740491884898287,-13.40172987139814,-14.798737898016064,-14.44472102737751,-14.783483985226654,-14.788746199148623,-15.001759383758806,-14.794355043908846,-14.456724739823851,-13.567502167129188
KDM1A,-14.333243733725004,-14.016151972592958,-13.842554130308553,-14.836408039378973,-14.111644033825531,-13.815195299471025,-13.721789686845542,-13.705780869923446,-13.051694413900389,-13.234044407176306
RBM6,-13.902393439409574,-13.11963712974866,-14.153402779315426,-14.088892525871856,-12.582571291300658,-12.124861895940743,-12.200796265505495,-12.174468800925641,-13.20984735019775,-13.296628944554328
CAMKK1,-16.997324951563762,-16.34750948040025,-16.129943806491436,-16.496067907377732,-16.59415926557587,-16.60611987703122,-16.8629747928468,-16.323703569419,-17.021878759464826,-17.60441285712142
RECQL,-13.497948004852278,-13.873105354826794,-13.77731891438116,-13.16372319654503,-13.696606534546687,-13.343452056141816,-13.4964973750033,-13.325978516078393,-12.661769917596404,-12.68816926252524
