,GSM4715947,GSM4715954,GSM4715956,GSM4715972,GSM4715975,GSM4715996,GSM4716002,GSM4716003
B2M,-6.411042293745763,-6.77362972340771,-6.933273846233424,-7.50752959654438,-7.549526861772909,-7.129790891021932,-7.4506585435454475,-7.213351829464347
EEF1A1,-7.765420078598084,-8.948874073061418,-6.931867142595596,-7.5303833161233085,-7.7480520497880745,-8.369746934020778,-6.991872936698975,-7.225970081860461
S100A9,-7.238951161555577,-6.986608496346106,-8.033634083609595,-6.841836852566168,-7.672837697557595,-5.74624762624899,-6.9451384539200935,-6.567101269185765
TXNIP,-7.255506594663743,-7.215946369986155,-8.004149810902591,-7.972925519833301,-8.190956517895508,-7.894826510702139,-8.225325811532494,-8.44998689440702
HLA-B,-7.325660835851318,-7.45677261806777,-8.331706249623537,-8.182207598869311,-8.584825381785405,-7.8737460376333335,-8.190930217878659,-8.916708177136353
PTPRC,-8.515332475366618,-7.675138587935765,-7.911563170898106,-7.9076713271543975,-8.00644454390398,-8.593900637578555,-7.722458104973897,-8.54576566681133
HLA-E,-7.608451628718571,-7.609312303658441,-8.321670988301756,-8.53293370844009,-8.576413398774136,-7.50025794694105,-8.231619298636595,-8.722299587383212
AHNAK,-8.95064328938216,-10.49654689554732,-8.686604007831935,-7.0831924095359495,-8.018743606240681,-9.479502780476441,-8.568117182317067,-8.404055141168133
RNF213,-7.769076881504452,-8.083423642896449,-9.46580052186829,-8.591015225629516,-8.356601642593734,-9.092484248859334,-10.518043413896503,-8.671635303872828
LYZ,-8.680846743337327,-7.938020861977288,-7.670494133390986,-8.127529591786411,-8.87808645994893,-8.631263055825663,-8.689970445149006,-9.354608434427924
LCP1,-8.553012435965256,-7.889284458955071,-8.359101371121913,-8.221299017583101,-8.73873396997195,-7.932662167188529,-7.845212668821828,-9.067049779539538
FCGR3B,-6.330755828975133,-6.044863156342742,-8.389452034247627,-8.763894556982496,-8.877058417608772,-7.56241267991021,-8.059710051604156,-8.363625487266082
TMSB4X,-8.277060417944451,-9.027670676486233,-8.318673971449384,-9.128013922427701,-9.352760579162966,-8.138638416126975,-8.289425456317,-8.646744785273997
MCL1,-8.312577922922197,-7.967456677822815,-8.945387903982368,-8.579178561737242,-8.820886850638423,-8.508437277462168,-8.745926061442685,-9.079297639642329
UBC,-8.09466378853439,-8.494790094664417,-8.664941311103457,-8.63208461200849,-9.057814574913905,-8.335577560507701,-8.447937704237873,-8.961435176737771
FTL,-8.131547333274016,-8.59739787871909,-9.061622257122359,-8.809406900172327,-9.282374832933062,-8.297856527252863,-8.04146450479826,-7.865473024598204
HLA-A,-7.789003076657692,-8.234322716551192,-9.596480145931896,-9.191593016301898,-9.00899080789978,-8.695586540678535,-9.112091631398902,-9.628700847449023
SORL1,-9.02850665926625,-8.526744548220975,-9.32072388914903,-7.913153666557026,-8.791279656983292,-7.9899949812397875,-8.311799335884857,-9.299342357404393
SMCHD1,-8.479086908237651,-8.081561099282114,-8.796933258379005,-9.042585905884932,-8.708678762638261,-9.598385922738002,-9.447740741216435,-9.408268085445735
ACTB,-9.166754749546762,-10.098568137678132,-9.480532765548409,-8.388763713748975,-9.067780782157023,-7.676984230159726,-8.800714784581043,-8.824534203022466
SLC25A37,-8.796091630610782,-8.695350260801952,-10.066729770994511,-9.002709116965718,-8.741390142976194,-8.46772561270009,-9.173758195195258,-8.088599870304595
NAMPT,-8.22292182998347,-7.337462512814373,-8.438148596476431,-8.879768261902099,-8.8958953827293,-7.6205289413908845,-7.146042679238095,-8.78843264149005
HLA-C,-7.85856619841704,-8.082104092824897,-9.689453709728118,-8.980672582594854,-9.034462400266996,-8.404485887559625,-9.562476305895009,-10.143531197513136
SELL,-7.847999890596155,-7.282539761812328,-8.9322287354061,-9.068382565715895,-9.499166861779678,-8.4447224947272,-8.408802281755134,-9.31730697051223
CTSS,-8.642597049027247,-8.517167590069128,-8.72953306226247,-8.656667545236099,-9.310951148479498,-9.373005790253742,-8.922805929341957,-9.442787132590988
HBA2,-7.0775230141388255,-14.05041209952348,-13.368857404519144,-9.330993138261855,-9.357582375004318,-11.322497223397662,-8.252935759304432,-5.136678522736246
SOD2,-8.882289271079525,-8.61626128326286,-9.334677379030875,-9.023680867543597,-9.387318712894144,-8.562722734651514,-8.185205360606794,-9.615468813933129
ALAS2,-8.435450671093747,-8.752361106654059,-10.758308927105084,-10.34218833241683,-9.567002724372449,-7.994839981877545,-7.736584447161326,-7.107289753545556
HSPA8,-8.024754885795858,-9.735544715073354,-8.866024401084514,-8.607022058814227,-9.861832085347949,-11.836030673615047,-9.57214765820041,-10.138790683803554
DDX17,-9.558727675557645,-9.898135794252807,-9.240618935736778,-9.458902341621052,-8.985651331412095,-9.726191698787636,-9.483392224151418,-9.259239254054592
LRRK2,-9.345261247422071,-8.299578252853255,-8.919188510674243,-9.147403860868454,-9.046091239376846,-9.058681289444438,-8.718056993732787,-9.917638320793095
VCAN,-11.491978857703058,-10.733349759807934,-9.347909290207465,-7.433093630602108,-8.663291758012601,-9.806748419612541,-9.553971329068393,-9.577554420642404
